statement_ref,statement_date,settlement_period,dealer_code,partner_code,product_type,activation_count,qualified_count,gross_revenue_ngn,commission_rate,commission_amount_ngn,status,source_system
STMT_FBB_D00001_FBB_DEVICE_202410,2024-11-01T05:15:13+00:00,202410,FBB_D00001,PARTNER_A,FBB_DEVICE,21,16,920000,0.08,73600.0,FINAL,COMMISSION_ENGINE
STMT_FBB_D00001_AIRTIME_202410,2024-11-02T05:55:28+00:00,202410,FBB_D00001,PARTNER_A,AIRTIME,6,4,4000,0.03,120.0,DRAFT,COMMISSION_ENGINE
STMT_FBB_D00001_BUNDLE_202410,2024-11-02T19:40:45+00:00,202410,FBB_D00001,PARTNER_A,BUNDLE,8,6,59500,0.05,2975.0,FINAL,COMMISSION_ENGINE
STMT_FBB_D00002_FBB_DEVICE_202410,2024-11-01T22:59:25+00:00,202410,FBB_D00002,PARTNER_A,FBB_DEVICE,17,15,1215000,0.08,97200.0,FINAL,COMMISSION_ENGINE
STMT_FBB_D00002_BUNDLE_202410,2024-11-01T09:24:53+00:00,202410,FBB_D00002,PARTNER_A,BUNDLE,14,13,153000,0.05,7650.0,FINAL,COMMISSION_ENGINE
STMT_FBB_D00002_AIRTIME_202410,2024-11-01T07:38:41+00:00,202410,FBB_D00002,PARTNER_A,AIRTIME,4,3,4000,0.03,120.0,FINAL,COMMISSION_ENGINE
STMT_FBB_D00003_BUNDLE_202410,2024-11-01T19:15:27+00:00,202410,FBB_D00003,PARTNER_B,BUNDLE,8,6,93500,0.05,4675.0,FINAL,COMMISSION_ENGINE
STMT_FBB_D00003_AIRTIME_202410,2024-11-01T03:38:35+00:00,202410,FBB_D00003,PARTNER_B,AIRTIME,5,3,5000,0.03,150.0,DRAFT,COMMISSION_ENGINE
STMT_FBB_D00003_FBB_DEVICE_202410,2024-11-02T06:06:19+00:00,202410,FBB_D00003,PARTNER_B,FBB_DEVICE,12,10,795000,0.08,63600.0,FINAL,COMMISSION_ENGINE
STMT_FBB_D00004_FBB_DEVICE_202410,2024-11-03T19:13:47+00:00,202410,FBB_D00004,PARTNER_B,FBB_DEVICE,18,16,950000,0.08,76000.0,FINAL,COMMISSION_ENGINE
STMT_FBB_D00004_BUNDLE_202410,2024-11-01T11:28:20+00:00,202410,FBB_D00004,PARTNER_B,BUNDLE,6,4,59500,0.05,2975.0,DRAFT,COMMISSION_ENGINE
STMT_FBB_D00004_AIRTIME_202410,2024-11-01T22:12:52+00:00,202410,FBB_D00004,PARTNER_B,AIRTIME,4,3,4000,0.03,120.0,FINAL,COMMISSION_ENGINE
