"imei","distributor_code","distributor_name","account_profile_class","product_name","product_code","data_subscription_amount","invoice_date","source","first_activation_date","tbl_dt","actual_completion_date","mon_period"
"8609450634718255","19657",WADHINO GLOBAL BUSINESS LTD,DATA PARTNERS,"ZTE,MF935,MF935,4G,MIFI,MF935,ROUTER TRADE","1212360",0.0,"2024-03-20",ORSC,"20260127 00:34:25",,,"202602"
"8611410721422855","74054",Imbil Telecom Solutions Nig Ltd,FIXED BROADBAND,"TOZED,MIFI,4G,ZLT M30S,MODEM,ROUMOD1491,MODEM TRADE","1186254",2227.66,"2025-01-10",ORSC,"20260227 18:46:20",,,"202602"
"8682940752714555","98053",Kaysmos Logistics Network Ltd,FIXED BROADBAND,"TOZED,ROUMOD4390,ROUMOD4390,4G CPE WITH UPS,MODEM,ROUMOD4390,ROUTER TRADE","1283280",3000.0,"2026-01-16",ORSC,"20260121 19:24:25",,,"202602"
"8602320589592455","68028",Xii Energy and Resources Ltd,ENTERPRISE BUSINESS,"TOZED,MIFI,4G,ZLT M30S,MODEM,ROUMOD1491,MODEM TRADE","1186254",4000.0,"2024-10-07",ORSC,"20260220 10:33:46",,,"202602"
"8604910529157155","19502",Novel Telecoms Ltd,DATA PARTNERS,"ZLT,ROUWIR2440,ROUWIR2440,S20 4G CAT 4 WITH A PAIR OF RABBIT-EAR ANTENNAS,WIRELESS,ROUWIR2440,ROUTER TRADE","1212397",20560.0,"2023-05-22",ORSC,"20260227 14:37:54",,,"202602"
"8611410724188855","95039",Alyusrah Investment Nigeria Ltd,FIXED BROADBAND,"TOZED,MIFI,4G,ZLT M30S,MODEM,ROUMOD1491,MODEM TRADE","1186254",0.0,"2025-02-07",ORSC,"20260207 17:45:38",,,"202602"
"8609450626894755","74049",Ramson International Communication And Trade Ltd,ENTERPRISE BUSINESS,"ZTE,MF935,MF935,4G,MIFI,MF935,ROUTER TRADE","1212360",16856.53,"2024-01-05",ORSC,"20260227 15:20:30",,,"202602"
"8602320564286255","19386",Seaman Ventures Nigeria Ltd,DEALER,"TOZED,MIFI,4G,ZLT M30S,MODEM,ROUMOD1491,MODEM TRADE","1186254",16790.0,"2024-03-06",ORSC,"20260110 08:37:15",,,"202602"
"8696010508902400","19410",Successgate Communications Ltd,DATA PARTNERS,"ZLT X20 5G,MODMOD2132,MODMOD2132,CPE WITH QUALCOMM CHIPSET WITHMINI UPS,MODEM,MODMOD2132,MODEM TRADE","1207941",0.0,"2023-12-19",ORSC,"20260106 23:19:40",,,"202602"
"8663430618962706","20031",Point Technologies Ltd,DATA PARTNERS,"ZTE,MF293N CAT4,MF293N CAT4,4G , CAT 4 , INDOOR CPE,WIRELESS,MF293N CAT4,ROUTER TRADE","1212364",48000.0,"2023-09-11",ORSC,"20260205 13:16:51",,,"202602"
"8611410719367555","19686",,CONNECT STORES,"TOZED,MIFI,4G,ZLT M30S,MODEM,ROUMOD1491,MODEM TRADE","1186254",0.0,"2025-01-21",ORSC,"20260225 19:39:45",,,"202602"
"8611410722680155","95037",Unbeatable Communications Ltd,FIXED BROADBAND,"TOZED,MIFI,4G,ZLT M30S,MODEM,ROUMOD1491,MODEM TRADE","1186254",0.0,"2025-01-21",ORSC,"20260226 21:12:43",,,"202602"
"8602320575749655","88031",Emnet Communication Nig Ltd,FIXED BROADBAND,"TOZED,MIFI,4G,ZLT M30S,MODEM,ROUMOD1491,MODEM TRADE","1186254",990.0,"2024-05-06",ORSC,"20260210 13:10:20",,,"202602"
"8646650720006504","97095",J5 World Ventures Ltd,FIXED BROADBAND,"ZTE,INDOOR,4G,CAT4 CPE,WIRELESS,K10,ROUTER TRADE","1229866",100.0,"2025-01-28",ORSC,"20260202 16:15:54",,,"202602"
"8672090804527255","19477",,CONNECT STORES,"ZTE,MF935,MF935,4G,MIFI,MF935,ROUTER TRADE","1212360",5000.0,"2025-11-27",ORSC,"20260219 14:27:31",,,"202602"
"8609450611220555","19484",N. U. Nefnet Ict. Global Ltd,DATA PARTNERS,"ZTE,MF935,MF935,4G,MIFI,MF935,ROUTER TRADE","1212360",0.0,"2023-08-25",ORSC,"20251126 07:10:58",,,"202602"
"8624440704711500","148031",Barcutt Investment Ltd,CONNECT STORES,"HUAWEI,ROUWIR4302,ROUWIR4302,4G CAT4 CPE B313-322WITH UPS,WIRELESS,ROUWIR4302,ROUTER TRADE","1234615",0.0,"2025-08-13",ORSC,"20251212 09:23:20",,,"202602"
"8602320564778055","19923",Grand Towers Communications Ltd,CONNECT STORES,"TOZED,MIFI,4G,ZLT M30S,MODEM,ROUMOD1491,MODEM TRADE","1186254",0.0,"2024-03-20",ORSC,"20251217 07:53:51",,,"202602"
"8612230311806255","206053",Olumajek IT Continental Ltd,ENTERPRISE BUSINESS,"ASIATELCO,ROUMOD4329,ROUMOD4329,N873 4G CAT4 LED MIFI, 2100MAH,MODEM,ROUMOD4329,ROUTER TRADE","1236645",7650.0,"2025-05-22",ORSC,"20260129 23:02:46",,,"202602"
"8646650712966404","19810",,CONNECT STORES,"ZTE,INDOOR,4G,CAT4 CPE,WIRELESS,K10,ROUTER TRADE","1229866",14500.0,"2025-01-03",ORSC,"20251220 06:39:54",,,"202602"
"8646650775147504","294071",Gadeen Plus Communication Ltd,FIXED BROADBAND,"ZTE,ROUMOD4391,ROUMOD4391,4G CPE WITH UPS,MODEM,ROUMOD4391,ROUTER TRADE","1283281",0.0,"2025-09-17",ORSC,"20251229 08:37:49",,,"202602"
"8609450676122855","74049",Ramson International Communication And Trade Ltd,ENTERPRISE BUSINESS,"ZTE,MF935,MF935,4G,MIFI,MF935,ROUTER TRADE","1212360",100.0,"2024-12-13",ORSC,"20251026 09:33:16",,,"202602"
"8612230309834855","19559",Ug Systems Ltd,DATA PARTNERS,"ASIATELCO,ROUMOD4329,ROUMOD4329,N873 4G CAT4 LED MIFI, 2100MAH,MODEM,ROUMOD4329,ROUTER TRADE","1236645",0.0,"2025-05-31",ORSC,"20250905 11:38:37",,,"202602"
"8609450617615555","19713",Cockpit Global Resources,DATA PARTNERS,"ZTE,MF935,MF935,4G,MIFI,MF935,ROUTER TRADE","1212360",3600.0,"2023-11-14",ORSC,"20260125 17:38:41",,,"202602"
"8672090806302855","19555",,CONNECT STORES,"ZTE,MF935,MF935,4G,MIFI,MF935,ROUTER TRADE","1212360",36000.0,"2025-11-26",ORSC,"20251210 08:58:07",,,"202602"
