customer_no,customer_name,part_no,part_desc,implied_units,unit_selling_price,actual_completion_date,tbl_dt
19448,V-Lite Solutions Ltd-Alimosho,1283282,"TOZED,ROUMOD4393,ROUMOD4393,5G CPE WITH UPS,MODEM,ROUMOD4393,ROUTER TRADE",2,74418.60465,2026-03-27T11:28:10.000+00:00,20260327
19448,V-Lite Solutions Ltd-Alimosho,1283282,"TOZED,ROUMOD4393,ROUMOD4393,5G CPE WITH UPS,MODEM,ROUMOD4393,ROUTER TRADE",2,74418.60465,2026-03-27T11:28:10.000+00:00,20260327
360063,Demmy Global Resources Ltd-Oyo,1283282,"TOZED,ROUMOD4393,ROUMOD4393,5G CPE WITH UPS,MODEM,ROUMOD4393,ROUTER TRADE",10,74418.60465,2026-03-27T13:48:36.000+00:00,20260327
360063,Demmy Global Resources Ltd-Oyo,1283282,"TOZED,ROUMOD4393,ROUMOD4393,5G CPE WITH UPS,MODEM,ROUMOD4393,ROUTER TRADE",10,74418.60465,2026-03-27T13:48:36.000+00:00,20260327
360063,Demmy Global Resources Ltd-Oyo,1283282,"TOZED,ROUMOD4393,ROUMOD4393,5G CPE WITH UPS,MODEM,ROUMOD4393,ROUTER TRADE",10,74418.60465,2026-03-27T13:48:36.000+00:00,20260327
360063,Demmy Global Resources Ltd-Oyo,1283282,"TOZED,ROUMOD4393,ROUMOD4393,5G CPE WITH UPS,MODEM,ROUMOD4393,ROUTER TRADE",10,74418.60465,2026-03-27T13:48:36.000+00:00,20260327
360063,Demmy Global Resources Ltd-Oyo,1283282,"TOZED,ROUMOD4393,ROUMOD4393,5G CPE WITH UPS,MODEM,ROUMOD4393,ROUTER TRADE",10,74418.60465,2026-03-27T13:48:36.000+00:00,20260327
360063,Demmy Global Resources Ltd-Oyo,1283282,"TOZED,ROUMOD4393,ROUMOD4393,5G CPE WITH UPS,MODEM,ROUMOD4393,ROUTER TRADE",10,74418.60465,2026-03-27T13:48:36.000+00:00,20260327
360063,Demmy Global Resources Ltd-Oyo,1283282,"TOZED,ROUMOD4393,ROUMOD4393,5G CPE WITH UPS,MODEM,ROUMOD4393,ROUTER TRADE",10,74418.60465,2026-03-27T13:48:36.000+00:00,20260327
360063,Demmy Global Resources Ltd-Oyo,1283282,"TOZED,ROUMOD4393,ROUMOD4393,5G CPE WITH UPS,MODEM,ROUMOD4393,ROUTER TRADE",10,74418.60465,2026-03-27T13:48:36.000+00:00,20260327
360063,Demmy Global Resources Ltd-Oyo,1283282,"TOZED,ROUMOD4393,ROUMOD4393,5G CPE WITH UPS,MODEM,ROUMOD4393,ROUTER TRADE",10,74418.60465,2026-03-27T13:48:36.000+00:00,20260327
360063,Demmy Global Resources Ltd-Oyo,1283282,"TOZED,ROUMOD4393,ROUMOD4393,5G CPE WITH UPS,MODEM,ROUMOD4393,ROUTER TRADE",10,74418.60465,2026-03-27T13:48:36.000+00:00,20260327
405089,Maple Telecomms Ltd-Edo,1002552,"VOUCHER ETOPUP, VIRTUAL AIRTIME, NGN15000, ELECTRONIC, VOUCHER ETOPUP",17179,13465.11785,2026-03-27T09:23:01.000+00:00,20260327
19462,Wolid International Services Ltd-Osogbo,1002552,"VOUCHER ETOPUP, VIRTUAL AIRTIME, NGN15000, ELECTRONIC, VOUCHER ETOPUP",1000,13465.11785,2026-03-27T07:43:03.000+00:00,20260327
19661,Kadick Integrated Ltd-Alimosho,1002552,"VOUCHER ETOPUP, VIRTUAL AIRTIME, NGN15000, ELECTRONIC, VOUCHER ETOPUP",3343,13465.11785,2026-03-27T14:43:23.000+00:00,20260327
357071,Jabir Noor Global Ventures Ltd-Kaduna,1186254,"TOZED,MIFI,4G,ZLT M30S,MODEM,ROUMOD1491,MODEM TRADE",3,12558.13953,2026-03-27T11:58:03.000+00:00,20260327
357071,Jabir Noor Global Ventures Ltd-Kaduna,1186254,"TOZED,MIFI,4G,ZLT M30S,MODEM,ROUMOD1491,MODEM TRADE",3,12558.13953,2026-03-27T11:58:03.000+00:00,20260327
357071,Jabir Noor Global Ventures Ltd-Kaduna,1186254,"TOZED,MIFI,4G,ZLT M30S,MODEM,ROUMOD1491,MODEM TRADE",3,12558.13953,2026-03-27T11:58:03.000+00:00,20260327
19431,Ilorin 1 Connect-Ikoyi,1283280,"TOZED,ROUMOD4390,ROUMOD4390,4G CPE WITH UPS,MODEM,ROUMOD4390,ROUTER TRADE",5,18604.65116,2026-03-27T16:33:23.000+00:00,20260327
19431,Ilorin 1 Connect-Ikoyi,1283280,"TOZED,ROUMOD4390,ROUMOD4390,4G CPE WITH UPS,MODEM,ROUMOD4390,ROUTER TRADE",5,18604.65116,2026-03-27T16:33:23.000+00:00,20260327
19431,Ilorin 1 Connect-Ikoyi,1283280,"TOZED,ROUMOD4390,ROUMOD4390,4G CPE WITH UPS,MODEM,ROUMOD4390,ROUTER TRADE",5,18604.65116,2026-03-27T16:33:23.000+00:00,20260327
19431,Ilorin 1 Connect-Ikoyi,1283280,"TOZED,ROUMOD4390,ROUMOD4390,4G CPE WITH UPS,MODEM,ROUMOD4390,ROUTER TRADE",5,18604.65116,2026-03-27T16:33:23.000+00:00,20260327
19431,Ilorin 1 Connect-Ikoyi,1283280,"TOZED,ROUMOD4390,ROUMOD4390,4G CPE WITH UPS,MODEM,ROUMOD4390,ROUTER TRADE",5,18604.65116,2026-03-27T16:33:23.000+00:00,20260327
19782,Alennsar Infinity Company Nig Ltd-Jos,1002552,"VOUCHER ETOPUP, VIRTUAL AIRTIME, NGN15000, ELECTRONIC, VOUCHER ETOPUP",34611,13465.11785,2026-03-27T08:28:33.000+00:00,20260327
19660,Kadick Integrated Ltd-Delta 2,1002552,"VOUCHER ETOPUP, VIRTUAL AIRTIME, NGN15000, ELECTRONIC, VOUCHER ETOPUP",3001,13465.11785,2026-03-27T14:48:31.000+00:00,20260327
20044,Demmy Global Resources Ltd-Ondo,1002552,"VOUCHER ETOPUP, VIRTUAL AIRTIME, NGN15000, ELECTRONIC, VOUCHER ETOPUP",34540,13465.11785,2026-03-27T14:58:24.000+00:00,20260327
19941,Easy Gsm Global Communications-Zaria,1002552,"VOUCHER ETOPUP, VIRTUAL AIRTIME, NGN15000, ELECTRONIC, VOUCHER ETOPUP",1278,13465.11785,2026-03-27T13:33:34.000+00:00,20260327
21283,Golden Rule Communications Ltd-PHC,1002552,"VOUCHER ETOPUP, VIRTUAL AIRTIME, NGN15000, ELECTRONIC, VOUCHER ETOPUP",1000,13465.11785,2026-03-27T13:38:26.000+00:00,20260327
20044,Demmy Global Resources Ltd-Ondo,1002552,"VOUCHER ETOPUP, VIRTUAL AIRTIME, NGN15000, ELECTRONIC, VOUCHER ETOPUP",34541,13465.11785,2026-03-27T14:58:24.000+00:00,20260327
