distributor_code,distributor_name,account_profile_class,report_month,commission_owed,amount_paid,amount_unpaid,payment_rate,payment_status,payment_channel,payment_date,exception_flag,data_source
74050,Nestobar Nigeria Ltd,FIXED BROADBAND,202602,752454.3099999998,677208.88,75245.43,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
98052,Movil Telecom Ltd,FIXED BROADBAND,202602,739383.81,665445.43,73938.38,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
296065,CCA Links Ltd,ENTERPRISE BUSINESS,202602,663141.0599999999,596826.95,66314.11,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
205044,Acmesynergy Ltd,FIXED BROADBAND,202602,526570.3099999999,473913.28,52657.03,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
88031,Emnet Communication Nig Ltd,FIXED BROADBAND,202602,458538.7199999999,412684.85,45853.87,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19477,Samanny Infotech Services Ltd,CONNECT STORES,202602,435152.58999999997,391637.33,43515.26,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
73037,Stephprisca Solutions Ltd,ENTERPRISE BUSINESS,202602,411024.35,369921.91,41102.44,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19357,Meridek Resources International Ltd,DATA PARTNERS,202602,410711.75,369640.58,41071.17,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19392,Speakeezee Connect Ltd,CONNECT STORES,202602,408066.69999999995,367260.03,40806.67,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
98053,Kaysmos Logistics Network Ltd,FIXED BROADBAND,202602,389319.09,350387.18,38931.91,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19948,El-Ruson Network Services Ltd,DATA PARTNERS,202602,387538.30000000005,348784.47,38753.83,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
110035,Corporate Extension Services Ltd,FIXED BROADBAND,202602,382084.65,343876.19,38208.46,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
254048,Toldex Concept Global Technology Ltd,ENTERPRISE BUSINESS,202602,374885.20999999996,149954.08,224931.13,0.4,DISPUTED,BANK_TRANSFER,,CONFIRMED_MISMATCH,SIMULATED
19657,WADHINO GLOBAL BUSINESS LTD,DATA PARTNERS,202602,373243.88,335919.49,37324.39,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19931,Dickson Telecoms Ltd,CONNECT STORES,202602,369125.3499999999,332212.81,36912.54,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
90032,Meridek Resources International Ltd,FIXED BROADBAND,202602,362098.12,325888.31,36209.81,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
95040,Oluedo Nigeria Ltd,FIXED BROADBAND,202602,360016.18999999994,324014.57,36001.62,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
69031,Vastlead Ltd,DATA PARTNERS,202602,340436.44999999995,306392.8,34043.65,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
19793,Assotel Connect Ltd,CONNECT STORES,202602,339086.23,305177.61,33908.62,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19810,Barcutt Investment Ltd,CONNECT STORES,202602,338086.79,304278.11,33808.68,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
19597,Odl Telecommunications Ltd,CONNECT STORES,202602,326902.2099999999,294211.99,32690.22,0.9,PENDING,MTN_INTERNAL_SETTLEMENT,,,SIMULATED
379102,Ciada Links Telecommunications Ltd,FIXED BROADBAND,202602,311458.14999999997,280312.33,31145.82,0.9,PENDING,BANK_TRANSFER,,,SIMULATED
